Can chelation therapy help my autistic child?,"Chelation therapy is not an effective autism treatment, and it may be dangerous. Proponents believe that autism is caused by mercury exposure, such as from childhood vaccines. Chelation therapy supposedly removes mercury from the body, which chelation supporters say cures autism but there's no evidence of a link between mercury exposure and autism. In addition, chelation therapy can be associated with serious side effects, including potentially deadly kidney damage.
Read more:
https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/expert-answers/autism-treatment/faq-20057933

Continue asking or input 'go back' to Main Service"
Do siblings suffer increased stress as a result of having an autistic brother or sister?,"Not all siblings will experience these stressful issues, but here are some to be aware of:
1. Embarrassment around peers; jealousy regarding amount of time parents spend with their brother/sister.
2. Frustration over not being able to engage or get a response from their brother/sister.
3. Being the target of aggressive behaviors.
4. Concern regarding their parents' stress and grief
5.Concern over their role in future caregiving
Read more:
https://www.autism-society.org/living-with-autism/autism-and-your-family/siblings/

Continue asking or input 'go back' to Main Service"
What are some ways that parents or family members can deal with the stress?,"1. Stress is a normal part of life, but families with autistic children often have a lot of stress. For stress management, try making time for family activities, doing positive thinking and relaxation exercises, getting organised and more.
2.If you or other family members feel very stressed every day, talk to a health professionals.
Read more:
https://raisingchildren.net.au/autism/communicating-relationships/family-relationships/family-stress-asd

Continue asking or input 'go back' to Main Service"
What is facilitated communication?,"Facilitated communication is a technique that involves a facilitator physically supporting the hand, wrist or arm of an autistic person while the person spells out words on a keyboard or similar device. It's sometimes called 'assisted typing' or 'supported typing'. Facilitated communication is sometimes used with people who have little or no speech, including autistic people.
Read more:
https://raisingchildren.net.au/autism/therapies-guide/facilitated-communication

Continue asking or input 'go back' to Main Service"
Getting (and keeping) my child dressed is very difficult. What can I do to make it easier?,"Little changes can make a big difference in limiting your child's frustration while dressing.Check out tips to make getting dressed, putting on socks and shoes, and fastening buttons easier from this resource.
Read more:
https://www.performancehealth.com/articles/how-to-teach-your-child-with-special-needs-to-dress-independently

Continue asking or input 'go back' to Main Service"
How are parents with Autistic Children stressed?,"Most parents experience stress, but for those raising children with autism, everyday life often brings Stress with a capital S. They need to keep their child from  running away, manage meltdowns, wrangle with teachers about special education needs, avoid sights or sounds that overload his senses, and drive to therapists or doctors.They do all this while sleep-deprived.Many children with autism simply don't sleep well, so neither do mom and dad.
Read more:
https://iancommunity.org/ssc/stress-and-autism-parent

Continue asking or input 'go back' to Main Service"
How can I tell if my family needs respite care services?,"If you notice any of these signs in yourself, or in a family member who is a caregiver, it may be time to consider respite care.
1. Declining Health or Injury
2.Becoming Irritable or Impatient
3.Exhibiting Depression
4.Making Mistakes
5.Missing Out on Life
Read more:
https://www.eddyseniorliving.com/respite-care/5-signs-you-or-a-caregiver-you-know-needs-respite-care/

Continue asking or input 'go back' to Main Service"
How do I make my home safe for my autistic child?,"Here are some tips to improve safety in home 
1. Use Locks and alarms where appropriate
2. Arrange the furniture appropriately
3. Make electrical outlets and appliances safe
4. Safeguard Your Windows
5. Lock harazdous items away
Read more:
https://www.autism-society.org/living-with-autism/how-the-autism-society-can-help/safe-and-sound/safety-in-the-home/

Continue asking or input 'go back' to Main Service"
I spent time and money childproofing my home when my son was an infant. Do I have to change anything now that he has been diagnosed as autistic?,"Here are some tips to improve safety in home 
1. Use Locks and alarms where appropriate
2. Arrange the furniture appropriately
3. Make electrical outlets and appliances safe
4. Safeguard Your Windows
5. Lock harazdous items away
Read more:
https://www.autism-society.org/living-with-autism/how-the-autism-society-can-help/safe-and-sound/safety-in-the-home/

Continue asking or input 'go back' to Main Service"
Is my home unsafe for my autistic child?,"Here are some tips to improve safety in home 
1. Use Locks and alarms where appropriate
2. Arrange the furniture appropriately
3. Make electrical outlets and appliances safe
4. Safeguard Your Windows
5. Lock harazdous items away
Read more:
https://www.autism-society.org/living-with-autism/how-the-autism-society-can-help/safe-and-sound/safety-in-the-home/

Continue asking or input 'go back' to Main Service"
